Income,EconomicOrientation,PaidMembership,Satisfaction,PurchaseFreq,SOW,Revenue
39000,2,0,0.2,3.0,0.05,4000
22000,2,0,0.45,4.0,0.1,10000
85000,3,0,0.73,2.0,0.3,4000
71000,3,1,0.73,4.0,0.15,4000
48000,3,1,0.83,3.0,0.3,7000
55000,3,1,0.87,5.0,0.2,6000
15000,1,0,0.26,5.0,0.05,7000
87000,4,1,0.92,5.0,0.2,16000
64000,3,1,0.71,5.0,0.2,7000
36000,3,0,0.22,5.0,0.1,7000
29000,2,0,0.25,2.0,0.1,9000
88000,5,1,0.25,5.0,0.3,11000
87000,4,1,0.49,3.0,0.15,7000
23000,2,0,0.05,2.0,0.05,2000
20000,1,0,0.37,3.0,0.1,10000
69000,3,1,0.7,4.0,0.15,9000
68000,3,0,0.07,5.0,0.05,4000
71000,4,0,0.21,3.0,0.1,12000
93000,4,0,0.14,3.0,0.1,5000
92000,4,1,0.69,6.0,0.25,6000
56000,3,0,0.43,3.0,0.15,6000
92000,4,1,0.92,5.0,0.3,5000
33000,2,0,0.21,0.0,0.0,0
46000,3,0,0.42,3.0,0.1,2000
66000,3,0,0.4,2.0,0.15,7000
24000,1,1,0.7,3.0,0.15,9000
72000,3,1,0.71,0.0,0.0,0
87000,3,1,0.66,6.0,0.1,7000
61000,4,1,0.4,6.0,0.3,8000
69000,3,1,0.9,3.0,0.15,14000
37000,3,0,0.16,4.0,0.05,6000
80000,3,1,0.65,5.0,0.15,9000
98000,5,1,0.79,5.0,0.3,11000
87000,4,1,0.78,5.0,0.2,7000
40000,2,0,0.6,3.0,0.2,8000
93000,4,1,0.19,3.0,0.1,10000
96000,4,1,0.7,4.0,0.25,8000
47000,3,0,0.27,0.0,0.0,0
20000,2,0,0.11,0.0,0.0,0
97000,4,1,0.73,6.0,0.35,8000
59000,3,1,0.66,5.0,0.25,10000
21000,2,0,0.89,5.0,0.1,6000
92000,5,1,0.45,3.0,0.3,14000
95000,4,1,0.79,5.0,0.25,15000
67000,3,0,0.23,1.0,0.1,12000
87000,4,1,0.81,6.0,0.2,8000
20000,1,0,0.56,2.0,0.1,3000
58000,3,0,0.67,4.0,0.15,4000
23000,1,0,0.41,1.0,0.05,2000
63000,3,1,0.37,5.0,0.3,10000
48000,3,0,0.76,2.0,0.2,5000
71000,4,1,0.53,3.0,0.1,5000
63000,3,0,0.26,2.0,0.15,8000
28000,1,0,0.34,3.0,0.05,8000
56000,3,0,0.77,1.0,0.15,2000
56000,2,0,0.24,3.0,0.05,6000
56000,3,0,0.12,0.0,0.0,0
90000,3,1,0.73,5.0,0.25,7000
93000,5,0,0.11,4.0,0.15,6000
95000,4,1,0.62,4.0,0.3,11000
97000,4,1,0.75,6.0,0.1,11000
34000,2,0,0.5,2.0,0.1,11000
76000,4,1,0.83,5.0,0.35,11000
90000,3,1,0.67,3.0,0.15,13000
94000,4,1,0.72,5.0,0.25,8000
97000,5,1,0.87,3.0,0.5,14000
25000,2,0,0.32,2.0,0.1,6000
55000,3,1,0.69,3.0,0.2,8000
54000,2,0,0.19,3.0,0.1,6000
53000,4,0,0.6,0.0,0.0,0
91000,4,1,0.62,2.0,0.25,10000
63000,4,0,0.05,2.0,0.1,14000
50000,2,0,0.38,0.0,0.0,0
49000,3,0,0.44,0.0,0.0,0
29000,2,0,0.52,2.0,0.15,11000
28000,2,0,0.08,2.0,0.05,4000
19000,1,0,0.41,0.0,0.0,0
29000,2,0,0.31,1.0,0.1,14000
80000,4,1,0.67,5.0,0.2,14000
50000,3,0,0.45,0.0,0.0,0
82000,3,1,0.87,6.0,0.15,10000
17000,1,0,0.2,4.0,0.05,7000
60000,3,1,0.81,3.0,0.3,7000
88000,4,1,0.64,6.0,0.2,9000
21000,2,0,0.3,1.0,0.05,3000
24000,2,0,0.48,3.0,0.1,4000
24000,2,0,0.23,2.0,0.1,3000
78000,4,1,0.68,4.0,0.15,7000
49000,4,0,0.35,4.0,0.3,4000
26000,3,0,0.33,1.0,0.15,10000
24000,2,0,0.53,5.0,0.15,4000
55000,3,1,0.68,3.0,0.45,5000
95000,4,1,0.52,6.0,0.2,7000
41000,3,1,0.82,4.0,0.15,13000
31000,1,0,0.47,2.0,0.05,4000
75000,4,1,0.85,4.0,0.1,7000
73000,4,0,0.44,3.0,0.15,14000
27000,1,0,0.3,2.0,0.1,7000
28000,2,0,0.13,3.0,0.1,5000
44000,4,0,0.16,5.0,0.05,8000
17000,1,0,0.29,0.0,0.0,0
58000,2,0,0.14,1.0,0.1,9000
52000,3,0,0.56,2.0,0.05,4000
72000,4,0,0.39,3.0,0.2,9000
17000,1,0,0.37,0.0,0.0,0
82000,3,1,0.36,4.0,0.1,10000
93000,4,1,0.67,3.0,0.1,10000
42000,2,0,0.65,3.0,0.15,7000
48000,3,0,0.51,3.0,0.25,12000
96000,3,1,0.53,4.0,0.1,9000
40000,3,0,0.37,1.0,0.05,12000
68000,4,1,0.52,4.0,0.15,8000
59000,3,0,0.04,4.0,0.1,10000
98000,4,1,0.78,6.0,0.15,7000
68000,3,0,0.46,4.0,0.2,7000
49000,3,0,0.24,1.0,0.05,3000
89000,4,1,0.5,5.0,0.2,9000
71000,4,0,0.32,4.0,0.1,11000
80000,3,0,0.26,1.0,0.1,9000
84000,5,1,0.47,4.0,0.15,10000
18000,0,0,0.29,1.0,0.05,5000
30000,1,0,0.51,1.0,0.05,5000
82000,4,1,0.86,5.0,0.35,8000
80000,3,0,0.66,0.0,0.0,0
76000,4,1,0.77,2.0,0.1,5000
38000,2,0,0.36,0.0,0.0,0
24000,2,0,0.15,2.0,0.1,10000
20000,2,0,0.05,1.0,0.1,14000
47000,2,0,0.22,4.0,0.05,5000
83000,4,1,0.88,4.0,0.1,10000
62000,3,0,0.28,5.0,0.1,4000
32000,2,0,0.44,3.0,0.3,4000
62000,3,0,0.16,3.0,0.05,5000
68000,4,1,0.77,3.0,0.35,8000
90000,4,1,0.75,0.0,0.0,0
24000,1,0,0.18,0.0,0.0,0
80000,3,0,0.26,3.0,0.1,6000
35000,2,0,0.14,0.0,0.0,0
22000,1,0,0.29,2.0,0.05,8000
45000,3,1,0.73,4.0,0.15,4000
28000,1,0,0.17,0.0,0.0,0
29000,3,0,0.28,0.0,0.0,0
62000,3,1,0.46,4.0,0.35,5000
67000,3,1,0.66,3.0,0.25,6000
77000,4,1,0.72,5.0,0.2,9000
27000,3,0,0.6,6.0,0.1,8000
25000,1,0,0.26,4.0,0.05,9000
30000,2,0,0.15,2.0,0.1,4000
50000,3,1,0.35,6.0,0.15,6000
67000,3,0,0.07,1.0,0.05,11000
24000,2,0,0.33,0.0,0.0,0
70000,3,0,0.41,0.0,0.0,0
91000,5,1,0.67,3.0,0.1,9000
40000,2,0,0.2,0.0,0.0,0
96000,4,1,0.73,5.0,0.3,9000
37000,2,0,0.2,1.0,0.1,2000
28000,2,0,0.22,3.0,0.1,9000
82000,4,1,0.75,5.0,0.25,8000
77000,4,0,0.19,0.0,0.0,0
79000,4,1,0.64,5.0,0.2,6000
50000,3,0,0.62,5.0,0.25,10000
93000,4,1,0.84,3.0,0.25,11000
65000,3,1,0.74,3.0,0.1,5000
45000,3,0,0.39,3.0,0.1,6000
24000,2,0,0.52,0.0,0.0,0
46000,4,0,0.04,1.0,0.1,6000
73000,4,1,0.66,6.0,0.45,9000
25000,1,0,0.35,2.0,0.05,4000
61000,3,1,0.89,4.0,0.1,10000
15000,2,0,0.08,4.0,0.05,3000
42000,3,0,0.68,2.0,0.15,6000
62000,2,1,0.64,4.0,0.1,7000
81000,3,1,1.0,4.0,0.2,8000
93000,5,1,0.64,4.0,0.2,6000
66000,4,0,0.36,3.0,0.1,8000
50000,3,1,0.9,2.0,0.45,14000
47000,2,0,0.51,2.0,0.1,2000
59000,3,1,0.51,2.0,0.1,6000
80000,3,1,0.8,6.0,0.1,9000
30000,3,0,0.58,6.0,0.15,7000
89000,4,1,0.47,5.0,0.25,14000
77000,3,1,0.96,6.0,0.15,10000
78000,3,1,0.84,6.0,0.1,8000
94000,4,0,0.08,2.0,0.05,3000
79000,4,1,0.49,5.0,0.2,9000
43000,3,0,0.25,2.0,0.1,5000
38000,3,0,0.16,1.0,0.1,3000
24000,1,0,0.34,3.0,0.05,6000
57000,3,1,0.79,3.0,0.15,12000
98000,4,1,0.74,7.0,0.7,17000
83000,4,1,0.87,3.0,0.15,5000
36000,2,1,0.24,3.0,0.15,4000
58000,4,0,0.24,2.0,0.2,6000
36000,2,0,0.19,0.0,0.0,0
31000,1,1,0.84,1.0,0.15,7000
98000,3,1,0.5,4.0,0.15,9000
69000,4,1,0.88,3.0,0.3,6000
52000,2,1,0.74,4.0,0.1,10000
30000,2,0,0.19,3.0,0.15,9000
23000,2,0,0.3,0.0,0.0,0
71000,3,0,0.12,0.0,0.0,0
63000,4,0,0.38,1.0,0.1,4000
99000,5,1,0.68,5.0,0.1,7000
18000,1,0,0.49,0.0,0.0,0
17000,0,0,0.28,0.0,0.0,0
19000,2,0,0.39,0.0,0.0,0
71000,3,1,0.8,3.0,0.2,15000
28000,3,0,0.23,4.0,0.1,9000
98000,4,1,0.59,4.0,0.2,8000
50000,3,1,0.65,6.0,0.2,11000
34000,2,0,0.44,5.0,0.05,6000
56000,3,1,0.64,3.0,0.15,15000
61000,3,0,0.28,2.0,0.1,9000
20000,1,0,0.31,2.0,0.05,8000
36000,2,0,0.35,1.0,0.05,6000
95000,3,1,0.89,6.0,0.2,15000
96000,3,1,0.65,3.0,0.1,4000
17000,2,0,0.5,4.0,0.1,3000
50000,2,0,0.17,3.0,0.05,6000
86000,4,1,0.59,3.0,0.1,10000
86000,3,0,0.09,3.0,0.1,10000
83000,4,1,0.79,4.0,0.1,5000
81000,4,1,0.59,4.0,0.2,8000
95000,4,1,0.61,3.0,0.15,10000
53000,3,1,0.74,5.0,0.1,6000
99000,4,1,0.49,5.0,0.1,5000
70000,4,1,0.79,7.0,0.3,10000
17000,2,0,0.2,5.0,0.15,5000
75000,3,1,0.66,3.0,0.2,9000
29000,2,0,0.23,0.0,0.0,0
85000,4,1,0.72,4.0,0.15,8000
37000,3,0,0.3,4.0,0.2,8000
52000,3,0,0.4,2.0,0.1,4000
60000,3,1,0.68,3.0,0.15,5000
64000,4,0,0.07,5.0,0.05,4000
36000,3,0,0.39,1.0,0.15,7000
42000,2,0,0.2,2.0,0.1,3000
75000,3,1,0.77,4.0,0.15,4000
41000,3,0,0.21,3.0,0.05,4000
95000,5,1,0.39,4.0,0.3,8000
91000,4,1,0.36,3.0,0.25,18000
75000,4,1,0.61,6.0,0.15,12000
80000,3,1,0.68,3.0,0.1,8000
42000,3,0,0.3,2.0,0.1,5000
43000,4,1,0.76,5.0,0.25,7000
60000,4,1,0.69,5.0,0.15,8000
39000,2,0,0.64,3.0,0.3,6000
89000,4,1,0.71,6.0,0.15,10000
24000,2,0,0.09,0.0,0.0,0
71000,3,1,0.77,3.0,0.1,9000
49000,3,0,0.56,0.0,0.0,0
33000,3,0,0.48,3.0,0.1,2000
86000,5,1,0.59,6.0,0.4,8000
26000,2,0,0.21,1.0,0.05,6000
39000,2,1,0.85,5.0,0.15,9000
39000,2,0,0.33,3.0,0.05,6000
89000,4,1,0.52,6.0,0.25,11000
59000,3,0,0.21,0.0,0.0,0
89000,4,1,0.62,3.0,0.25,10000
98000,5,1,0.64,6.0,0.45,12000
19000,2,0,0.23,3.0,0.05,8000
16000,1,0,0.43,3.0,0.1,7000
70000,3,1,0.34,3.0,0.2,9000
65000,3,0,0.09,4.0,0.15,10000
93000,4,1,0.69,3.0,0.1,7000
75000,4,0,0.72,4.0,0.1,5000
55000,3,0,0.09,6.0,0.1,8000
23000,2,0,0.28,6.0,0.05,5000
97000,4,1,0.9,4.0,0.15,12000
19000,1,0,0.09,0.0,0.0,0
92000,4,1,0.87,4.0,0.2,9000
22000,1,0,0.29,4.0,0.1,7000
24000,2,0,0.42,4.0,0.1,6000
62000,4,1,0.62,5.0,0.15,6000
66000,4,1,0.81,5.0,0.15,13000
26000,1,0,0.31,4.0,0.05,3000
65000,4,1,0.19,4.0,0.2,11000
74000,3,1,0.61,4.0,0.1,7000
79000,4,1,0.56,5.0,0.25,14000
46000,3,0,0.23,2.0,0.2,11000
89000,3,1,0.63,5.0,0.15,7000
80000,3,0,0.58,5.0,0.25,5000
100000,4,1,0.43,2.0,0.3,7000
97000,4,1,0.57,3.0,0.2,5000
48000,3,1,0.77,6.0,0.15,6000
35000,2,0,0.36,1.0,0.1,10000
31000,2,0,0.27,2.0,0.05,6000
39000,3,0,0.34,5.0,0.1,4000
21000,1,0,0.46,1.0,0.05,4000
46000,3,0,0.15,0.0,0.0,0
82000,4,1,0.68,6.0,0.15,11000
45000,4,1,0.82,3.0,0.2,11000
67000,3,1,0.74,6.0,0.3,14000
48000,3,0,0.13,0.0,0.0,0
99000,4,1,0.71,6.0,0.2,13000
29000,2,1,0.61,5.0,0.15,5000
48000,3,1,0.73,2.0,0.2,8000
91000,3,1,0.84,4.0,0.1,6000
41000,3,0,0.37,1.0,0.1,14000
88000,4,1,0.54,3.0,0.3,6000
45000,2,0,0.31,4.0,0.15,6000
30000,1,0,0.34,3.0,0.1,7000
44000,2,0,0.14,4.0,0.1,6000
83000,3,0,0.42,1.0,0.1,9000
73000,4,0,0.17,1.0,0.15,8000
89000,4,1,0.62,7.0,0.15,8000
35000,3,0,0.51,3.0,0.1,8000
32000,3,0,0.19,2.0,0.05,2000
87000,3,1,0.76,3.0,0.15,9000
59000,3,1,0.65,6.0,0.5,12000
51000,3,1,0.77,4.0,0.2,8000
83000,4,1,0.65,2.0,0.25,9000
100000,4,1,0.84,5.0,0.05,7000
25000,2,0,0.42,0.0,0.0,0
64000,3,1,0.5,3.0,0.15,11000
87000,4,0,0.24,1.0,0.05,12000
58000,3,0,0.2,0.0,0.0,0
55000,3,0,0.47,4.0,0.15,12000
46000,3,0,0.23,3.0,0.1,5000
57000,3,0,0.04,3.0,0.1,3000
64000,4,1,0.66,4.0,0.2,8000
34000,2,0,0.56,0.0,0.0,0
18000,1,0,0.3,1.0,0.05,9000
61000,3,0,0.1,0.0,0.0,0
42000,3,0,0.36,2.0,0.2,5000
39000,3,0,0.53,1.0,0.15,8000
82000,4,1,0.61,5.0,0.25,12000
54000,4,0,0.52,5.0,0.15,4000
50000,3,0,0.36,3.0,0.2,12000
60000,3,1,0.86,2.0,0.15,6000
58000,3,1,0.73,4.0,0.25,7000
92000,5,0,0.16,5.0,0.15,11000
84000,4,1,0.7,3.0,0.1,5000
41000,3,0,0.11,3.0,0.15,11000
47000,4,1,0.84,6.0,0.3,18000
40000,2,0,0.22,0.0,0.0,0
20000,2,0,0.51,3.0,0.15,13000
92000,4,0,0.0,5.0,0.1,7000
43000,3,0,0.21,1.0,0.15,8000
83000,5,1,0.59,4.0,0.2,18000
25000,2,0,0.37,3.0,0.1,11000
33000,3,0,0.06,0.0,0.0,0
79000,4,1,0.52,5.0,0.25,7000
39000,2,0,0.39,0.0,0.0,0
36000,2,0,0.17,0.0,0.0,0
73000,3,1,0.42,3.0,0.3,12000
97000,4,1,0.76,5.0,0.15,6000
96000,4,1,0.67,3.0,0.15,13000
47000,3,0,0.06,5.0,0.1,12000
19000,0,0,0.56,1.0,0.1,12000
75000,3,1,0.86,2.0,0.25,5000
30000,3,0,0.44,5.0,0.15,4000
90000,4,1,0.43,6.0,0.15,15000
67000,4,1,0.85,4.0,0.2,12000
48000,2,0,0.28,0.0,0.0,0
25000,1,0,0.42,2.0,0.05,5000
51000,2,0,0.26,2.0,0.15,6000
67000,3,0,0.28,6.0,0.1,4000
89000,4,1,0.82,4.0,0.35,14000
94000,4,1,0.64,5.0,0.15,5000
92000,4,1,0.57,6.0,0.3,10000
42000,2,0,0.23,3.0,0.1,6000
31000,3,0,0.62,4.0,0.1,4000
90000,5,1,0.49,4.0,0.3,7000
49000,2,0,0.15,4.0,0.05,8000
36000,2,0,0.41,6.0,0.1,4000
48000,2,0,0.35,0.0,0.0,0
19000,1,0,0.27,4.0,0.05,13000
60000,4,0,0.32,1.0,0.2,4000
90000,4,1,0.43,5.0,0.1,9000
20000,2,0,0.35,2.0,0.05,3000
58000,3,0,0.26,2.0,0.05,3000
27000,1,0,0.22,2.0,0.05,5000
28000,2,0,0.29,0.0,0.0,0
56000,3,0,0.46,0.0,0.0,0
83000,4,1,0.78,4.0,0.2,5000
48000,4,0,0.36,4.0,0.15,4000
67000,4,0,0.34,0.0,0.0,0
59000,4,0,0.42,3.0,0.15,6000
89000,4,0,0.16,1.0,0.1,7000
84000,3,1,0.63,4.0,0.2,9000
35000,3,0,0.12,5.0,0.05,8000
62000,3,0,0.36,5.0,0.05,9000
64000,4,1,0.76,2.0,0.25,10000
55000,3,0,0.17,0.0,0.0,0
90000,5,1,0.14,5.0,0.35,9000
99000,4,1,0.59,3.0,0.15,5000
25000,2,0,0.32,4.0,0.05,6000
72000,3,1,0.83,4.0,0.3,9000
59000,4,1,0.87,4.0,0.1,7000
69000,3,0,0.17,0.0,0.0,0
94000,5,1,0.66,5.0,0.3,13000
77000,4,0,0.24,4.0,0.15,9000
63000,3,0,0.36,3.0,0.15,8000
41000,2,0,0.47,4.0,0.05,6000
19000,1,0,0.46,1.0,0.1,6000
23000,1,1,0.8,2.0,0.1,5000
65000,3,1,0.99,5.0,0.2,14000
82000,4,1,0.75,2.0,0.15,10000
78000,5,1,0.49,3.0,0.2,4000
51000,2,1,0.93,1.0,0.2,6000
19000,2,0,0.41,3.0,0.05,10000
60000,2,1,0.64,5.0,0.05,10000
95000,4,0,0.3,1.0,0.15,5000
18000,1,0,0.19,1.0,0.05,3000
43000,3,0,0.44,2.0,0.1,2000
86000,3,0,0.28,0.0,0.0,0
51000,3,0,0.35,1.0,0.15,11000
41000,3,1,0.89,5.0,0.15,9000
30000,3,0,0.75,5.0,0.1,9000
81000,4,1,0.45,4.0,0.1,5000
47000,2,1,0.82,2.0,0.1,7000
34000,2,1,0.86,3.0,0.2,17000
26000,1,0,0.36,5.0,0.05,7000
55000,2,0,0.29,0.0,0.0,0
65000,4,1,0.77,3.0,0.1,7000
26000,2,0,0.31,4.0,0.1,9000
15000,0,0,0.4,5.0,0.05,6000
95000,5,0,0.48,6.0,0.15,8000
22000,1,0,0.39,2.0,0.1,3000
42000,2,0,0.22,3.0,0.1,7000
86000,4,1,0.62,3.0,0.2,9000
21000,2,0,0.2,1.0,0.05,12000
81000,4,0,0.0,1.0,0.05,6000
39000,3,0,0.23,4.0,0.1,11000
100000,4,1,0.75,5.0,0.4,8000
70000,3,1,0.67,3.0,0.2,9000
62000,3,0,0.86,5.0,0.2,5000
76000,4,0,0.33,4.0,0.1,13000
41000,3,0,0.41,3.0,0.15,8000
48000,3,0,0.4,0.0,0.0,0
63000,3,1,0.82,6.0,0.2,8000
94000,3,1,0.42,4.0,0.15,5000
93000,3,1,0.57,3.0,0.15,7000
94000,4,1,0.75,5.0,0.15,5000
69000,3,1,0.77,6.0,0.25,11000
64000,3,0,0.31,3.0,0.05,5000
79000,4,0,0.32,3.0,0.15,3000
38000,2,0,0.3,2.0,0.15,3000
85000,4,1,0.94,2.0,0.25,15000
20000,0,0,0.7,3.0,0.05,6000
32000,2,0,0.07,1.0,0.05,6000
52000,3,0,0.47,1.0,0.05,5000
78000,4,1,0.6,4.0,0.2,9000
52000,3,1,0.49,3.0,0.2,10000
36000,2,0,0.4,1.0,0.1,3000
59000,3,1,0.67,6.0,0.55,10000
77000,5,1,0.81,6.0,0.45,9000
48000,2,0,0.48,1.0,0.05,3000
88000,4,1,0.41,3.0,0.2,10000
48000,3,0,0.42,4.0,0.15,5000
74000,3,0,0.36,0.0,0.0,0
88000,4,1,0.92,4.0,0.2,7000
75000,4,1,0.62,6.0,0.15,7000
80000,4,1,0.8,5.0,0.25,19000
52000,4,1,0.61,6.0,0.45,20000
66000,3,0,0.16,2.0,0.1,8000
73000,4,1,0.79,3.0,0.2,8000
39000,3,0,0.52,3.0,0.1,4000
21000,2,0,0.4,4.0,0.1,5000
88000,5,1,0.84,6.0,0.2,9000
69000,3,1,0.47,3.0,0.15,8000
56000,4,1,0.3,4.0,0.25,5000
62000,4,0,0.25,0.0,0.0,0
83000,4,0,0.41,3.0,0.1,5000
29000,1,0,0.51,3.0,0.1,4000
99000,5,1,0.74,5.0,0.25,7000
86000,3,1,0.68,4.0,0.15,5000
52000,3,0,0.39,6.0,0.4,17000
52000,4,0,0.36,2.0,0.25,3000
70000,3,1,0.71,6.0,0.15,6000
92000,4,1,0.58,7.0,0.25,10000
